accession	description	tax_id	first_public	scientific_name	base_count
AH000980	Drosophila melanogaster alcohol dehydrogenase (ADH-71k) gene, complete cds.	7227	2016-06-13	Drosophila melanogaster	2474
U95266	Drosophila willistoni PA2 alcohol dehydrogenase (Adh) gene, complete cds.	7260	1999-01-06	Drosophila willistoni	1159
X57374	Drosophila yakuba (individual j) Adh gene for alcohol dehydrogenase	7245	1991-07-17	Drosophila yakuba	975
X57376	Drosophila yakuba (individual l) Adh gene for alcohol dehydrogenase	7245	1991-07-17	Drosophila yakuba	975
U95260	Drosophila willistoni Lima alcohol dehydrogenase (Adh) gene, complete cds.	7260	1999-01-06	Drosophila willistoni	1172
X57372	Drosophila yakuba (individual h) Adh gene for alcohol dehydrogenase	7245	1991-07-17	Drosophila yakuba	975
AB154553	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh12.	30033	2004-04-01	Drosophila kikkawai	675
AF201429	Drosophila simulans isolate TT01 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	2000-07-03	Drosophila simulans	480
AY156525	Drosophila navojoa alcohol dehydrogenase 2 (adh-2) gene, complete cds.	7232	2003-03-03	Drosophila navojoa	878
KX976486	Drosophila yakuba isolate Yakuba_SJ7 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
KX976513	Drosophila yakuba isolate Yakuba_2_11 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
M60980	Drosophila pseudoobscura (strain AH54) alcohol dehydrogenase (adh) gene, complete cds.	7237	1992-01-26	Drosophila pseudoobscura	3476
EU532128	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.	46793	2010-01-21	Drosophila paulistorum	562
HQ110512	Drosophila neocordata isolate D_neoc_c1 alcohol dehydrogenase (Adh) gene, partial cds.	30039	2011-05-06	Drosophila neocordata	830
HQ110514	Drosophila neocordata isolate D_neoc_c3 alcohol dehydrogenase (Adh) gene, partial cds.	30039	2011-05-06	Drosophila neocordata	819
HQ110515	Drosophila prosaltans isolate D_pros_c1 alcohol dehydrogenase (Adh) gene, partial cds.	30042	2011-05-06	Drosophila prosaltans	859
KX976489	Drosophila yakuba isolate Yakuba_SJ14 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
KX976512	Drosophila yakuba isolate Yakuba_3_16 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
KX976518	Drosophila yakuba isolate Yakuba_1_7 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
M60988	Drosophila pseudoobscura (strain AH165) alcohol dehydrogenase (adh) gene, complete cds.	7237	1992-04-30	Drosophila pseudoobscura	3467
AB154543	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh02.	30033	2004-04-01	Drosophila kikkawai	675
AB154544	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh03.	30033	2004-04-01	Drosophila kikkawai	683
AB154551	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh10.	30033	2004-04-01	Drosophila kikkawai	683
AF201449	Drosophila simulans isolate MDW86 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	2000-07-03	Drosophila simulans	481
AF284481	Drosophila sechellia strain SS77 alcohol dehydrogenase (Adh) gene, partial cds.	7238	2000-11-02	Drosophila sechellia	700
AY095943	Drosophila curvispina isolate cur3 alcohol dehydrogenase (Adh) gene, partial cds.	126591	2003-05-01	Drosophila curvispina	443
AY335198	Drosophila saltans clone Dsalt2L alcohol dehydrogenase (Adh) gene, partial cds.	7273	2003-12-31	Drosophila saltans	854
DQ471613	Drosophila angor strain B123 alcohol dehydrogenase (Adh) gene, partial cds.	381448	2006-07-20	Drosophila angor	711
DQ471644	Drosophila barutani strain 178 alcohol dehydrogenase (Adh) gene, partial cds.	381452	2006-07-20	Drosophila barutani	711
DQ471653	Drosophila kanekoi strain 248 alcohol dehydrogenase (Adh) gene, partial cds.	50033	2006-07-20	Drosophila kanekoi	711
DQ471654	Drosophila tsigana strain JP275 alcohol dehydrogenase (Adh) gene, partial cds.	65966	2006-07-20	Drosophila tsigana	711
EU532129	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.	46793	2010-01-21	Drosophila paulistorum	558
JX455213	Drosophila simulans isolate HW04 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	2012-09-03	Drosophila simulans	481
KX976497	Drosophila yakuba isolate Yakuba_Cascade_SN6 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
M60981	Drosophila pseudoobscura (strain AH69) alcohol dehydrogenase (adh) gene, complete cds.	7237	1992-01-26	Drosophila pseudoobscura	3475
M60985	Drosophila pseudoobscura (strain AH135) alcohol dehydrogenase (adh) gene, complete cds.	7237	1992-04-30	Drosophila pseudoobscura	3465
U95258	Drosophila willistoni Cano Mora alcohol dehydrogenase (Adh) gene, complete cds.	7260	1999-01-06	Drosophila willistoni	1172
DQ471628	Drosophila angor strain Taiwan alcohol dehydrogenase (Adh) gene, partial cds.	381448	2006-07-20	Drosophila angor	711
JX455216	Drosophila simulans isolate HW47 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	2012-09-03	Drosophila simulans	480
KX976521	Drosophila yakuba isolate Yakuba_2_8 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
AY095938	Drosophila transversa isolate tra2 alcohol dehydrogenase (Adh) gene, partial cds.	193351	2003-05-01	Drosophila transversa	437
KX976492	Drosophila yakuba isolate Yakuba_SN7 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
KX976500	Drosophila yakuba isolate Yakuba_Anton_1_Principe alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
AB669850	Drosophila burlai Adh gene for alcohol dehydrogenase, partial cds, strain: L76.	137355	2014-01-02	Drosophila burlai	833
AB669859	Drosophila bocki Adh gene for alcohol dehydrogenase, partial cds, strain: A126.	103765	2014-01-02	Drosophila bocki	831
AF136695	Drosophila americana americana G96.14Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
L78922	Drosophila mimica (strain 15292-2561.2) alcohol dehydrogenase gene, partial cds.	7270	1996-06-25	Drosophila mimica	822
U64542	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS308 allele, complete cds.	7237	1996-08-16	Drosophila pseudoobscura	3481
U64550	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS333 allele, complete cds.	7237	1996-08-16	Drosophila pseudoobscura	3484
U95271	Drosophila paulistorum Andean-Brazilian, ABM alcohol dehydrogenase (Adh) gene, complete cds.	46793	1999-01-06	Drosophila paulistorum	1167
X54120	D.yakuba Adh gene for alcohol dehydrogenase and Adh-related gene	7245	1992-04-14	Drosophila yakuba	2284
AF136661	Drosophila americana americana G96.48X alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AF136667	Drosophila americana americana G96.33X alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AF136668	Drosophila americana americana G96.21X alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AF136699	Drosophila americana texana LP97.01 alcohol dehydrogenase (Adh) gene, partial cds.	40372	1999-06-03	Drosophila americana texana	884
AF459753	Drosophila biarmipes alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	125945	2002-05-16	Drosophila biarmipes	290
AF459763	Drosophila watanabei alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	94109	2002-05-16	Drosophila watanabei	290
AF459771	Drosophila kikkawai alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	30033	2002-05-16	Drosophila kikkawai	290
KY002642	UNVERIFIED: Drosophila melanogaster strain IND_DMEL_KL6 alcohol dehydrogenase-like gene, complete sequence.	7227	2017-10-13	Drosophila melanogaster	819
LC057205	Drosophila sp. XT-32 Adh gene for alcohol dehydrogenase, partial cds.	1660393	2019-06-04	Drosophila sp. XT-32	836
U64529	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS251 allele, complete cds.	7237	1996-08-16	Drosophila pseudoobscura	3491
U64533	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS267 allele, complete cds.	7237	1996-08-16	Drosophila pseudoobscura	3465
U64537	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS277 allele, complete cds.	7237	1996-08-16	Drosophila pseudoobscura	3465
AB669824	Drosophila asahinai Adh gene for alcohol dehydrogenase, partial cds, strain: TKNM1.	154832	2014-01-02	Drosophila asahinai	839
AB669834	Drosophila rufa Adh gene for alcohol dehydrogenase, partial cds, strain: EH091.	67533	2014-01-02	Drosophila rufa	838
AB669858	Drosophila barbarae Adh gene for alcohol dehydrogenase, partial cds, strain: MMY317.	137354	2014-01-02	Drosophila barbarae	833
AB669864	Drosophila kikkawai Adh gene for alcohol dehydrogenase, partial cds, strain: NAHA1.	30033	2014-01-02	Drosophila kikkawai	832
AF136682	Drosophila americana americana G96.47Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AF136688	Drosophila americana americana G96.33Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AF136694	Drosophila americana americana G96.11Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AF459772	Drosophila lini alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	74550	2002-05-16	Drosophila lini	290
AF459775	Drosophila triauraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	67534	2002-05-16	Drosophila triauraria	290
EF560573	Drosophila brncici pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.	306027	2008-05-01	Drosophila brncici	622
L78928	Drosophila mimica (strain 15292-2561.9) alcohol dehydrogenase gene, partial cds.	7270	1996-06-25	Drosophila mimica	822
U64546	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS322 allele, complete cds.	7237	1996-08-16	Drosophila pseudoobscura	3504
U64557	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS352 allele, complete cds.	7237	1996-08-16	Drosophila pseudoobscura	3457
AB669882	Drosophila bicornuta Adh gene for alcohol dehydrogenase, partial cds, strain: BOG1.	112146	2014-01-02	Drosophila bicornuta	838
AF136659	Drosophila americana americana G96.14X alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AY804554	Drosophila santomea strain STO.4 alcohol dehydrogenase (Adh) gene, partial cds.	129105	2005-10-06	Drosophila santomea	759
U76477	Drosophila hydei strain 9 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224	1996-11-19	Drosophila hydei	897
U64539	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS295 allele, complete cds.	7237	1996-08-16	Drosophila pseudoobscura	3489
U76473	Drosophila hydei strain 5 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224	1996-11-19	Drosophila hydei	897
AB703325	Drosophila tolteca Adh gene for alcohol dehydrogenase, partial cds, clone: D.tolteca.	7259	2012-03-18	Drosophila tolteca	405
AF136676	Drosophila americana americana D.am-.1Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AH011594	Drosophila biauraria strain 14028-0501.0 alcohol dehydrogenase (Adh) gene, partial cds.	73155	2016-04-08	Drosophila biauraria	565
AY541093	Drosophila innubila strain CH2_M3 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719	2004-12-13	Drosophila innubila	555
AY874369	Drosophila subobscura strain line 21 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	7241	2005-05-31	Drosophila subobscura	1406
AY340288	Drosophila americana pop-variant NN00.03X alcohol dehydrogenase (Adh) gene, partial cds.	40366	2003-08-13	Drosophila americana	881
AY340299	Drosophila americana pop-variant DN01.05Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	2003-08-13	Drosophila americana	881
AY340303	Drosophila americana pop-variant NN97.09Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	2003-08-13	Drosophila americana	881
AY340307	Drosophila americana pop-variant NN00.09Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	2003-08-13	Drosophila americana	881
AY541097	Drosophila innubila strain CH3_M70 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719	2004-12-13	Drosophila innubila	555
LC057203	Drosophila lutescens Adh gene for alcohol dehydrogenase, partial cds, strain: AK96-3.	51159	2019-06-04	Drosophila lutescens	837
AB703317	Drosophila ambigua Adh gene for alcohol dehydrogenase, partial cds, clone: D.ambigua.	7216	2012-03-18	Drosophila ambigua	405
AB703321	Drosophila helvetica Adh gene for alcohol dehydrogenase, partial cds, clone: D.helvetica.	77129	2012-03-18	Drosophila helvetica	405
AB932669	Drosophila putrida Adh gene for alcohol dehydrogenase, partial cds, strain: E-22401.	38840	2014-10-26	Drosophila putrida	856
AF476924	Drosophila quadraria strain 14028-0651.0 alcohol dehydrogenase (Adh) gene, partial cds.	67532	2002-04-26	Drosophila quadraria	405
AY340296	Drosophila americana pop-variant DN01.01Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	2003-08-13	Drosophila americana	881
AY364494	Drosophila mojavensis strain MJS 36 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	7230	2004-01-30	Drosophila mojavensis	880
AY364497	Drosophila mojavensis strain MJS 84 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	7230	2004-01-30	Drosophila mojavensis	880
AY364515	Drosophila mojavensis strain MJS 93 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	7230	2004-01-30	Drosophila mojavensis	879
AY874370	Drosophila subobscura strain line 22 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	7241	2005-05-31	Drosophila subobscura	1406
EF560580	Drosophila pavani pop-variant La Florida alcohol dehydrogenase (adh) gene, partial cds.	306031	2008-05-01	Drosophila pavani	626
AF136651	Drosophila americana americana D.am-.1X alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AY340283	Drosophila americana pop-variant DN01.05X alcohol dehydrogenase (Adh) gene, partial cds.	40366	2003-08-13	Drosophila americana	881
AY364510	Drosophila mojavensis strain MJS 14 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	7230	2004-01-30	Drosophila mojavensis	879
AY364519	Drosophila mojavensis strain MJS 87 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	7230	2004-01-30	Drosophila mojavensis	879
AY541089	Drosophila innubila strain CH1_M2 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719	2004-12-13	Drosophila innubila	555
AY874373	Drosophila subobscura strain line 33 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	7241	2005-05-31	Drosophila subobscura	1419
AF136654	Drosophila americana americana D.am-.3X alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AB932650	Drosophila cardini Adh gene for alcohol dehydrogenase, partial cds, strain: E-17701.	133981	2014-10-26	Drosophila cardini	833
AY874365	Drosophila subobscura strain line 7 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	7241	2005-05-31	Drosophila subobscura	1406
AY044128	Drosophila ruberrima alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	98362	2002-08-06	Drosophila ruberrima	720
AY044129	Drosophila neohypocausta alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157057	2002-08-06	Drosophila neohypocausta	747
AY154841	Drosophila arizonae strain ARTU 14 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263	2003-03-03	Drosophila arizonae	879
AY154858	Drosophila arizonae strain ARTU 14 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263	2003-03-03	Drosophila arizonae	880
AY364505	Drosophila mojavensis strain MJS 147.2F alcohol dehydrogenase 1 (Adh1) gene, complete cds.	7230	2004-01-30	Drosophila mojavensis	880
M17830	D.melanogaster (strain Fr-S) alcohol dehydrogenase gene (allele Adh-S), complete cds.	7227	1991-07-01	Drosophila melanogaster	2722
AB669887	Drosophila mayri Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0591.01.	137074	2014-01-02	Drosophila mayri	836
AB669888	Drosophila orosa Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0611.00.	137076	2014-01-02	Drosophila orosa	839
AB932645	Drosophila acutilabella Adh gene for alcohol dehydrogenase, partial cds, strain: 15181-2171.10.	133978	2014-10-26	Drosophila acutilabella	845
AY154840	Drosophila arizonae strain ARTU 10 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263	2003-03-03	Drosophila arizonae	878
AY154846	Drosophila arizonae strain ARTU 36 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263	2003-03-03	Drosophila arizonae	879
AY340289	Drosophila americana pop-variant NN00.04-8X alcohol dehydrogenase (Adh) gene, partial cds.	40366	2003-08-13	Drosophila americana	852
AY364508	Drosophila mojavensis strain MJS 147.2F alcohol dehydrogenase-2 (Adh2) gene, complete cds.	7230	2004-01-30	Drosophila mojavensis	880
M17836	D.melanogaster (strain Af-F) alcohol dehydrogenase gene (allele Adh-F), complete cds.	7227	1991-07-01	Drosophila melanogaster	2770
M55545	Drosophila subobscura alchohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.	7241	1992-04-30	Drosophila subobscura	3980
AB669855	Drosophila watanabei Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0531.02.	94109	2014-01-02	Drosophila watanabei	825
AY044124	Drosophila kohkoa alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	88883	2002-08-06	Drosophila kohkoa	725
AY044125	Drosophila siamana alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157059	2002-08-06	Drosophila siamana	725
AY154853	Drosophila arizonae strain AR00 4 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263	2003-03-03	Drosophila arizonae	880
M17832	D.melanogaster (strain Ja-S) alcohol dehydrogenase gene (allele Adh-S), complete cds.	7227	1991-07-01	Drosophila melanogaster	2727
AB932647	Drosophila arawakana Adh gene for alcohol dehydrogenase, partial cds, strain: 15182-2261.03.	30017	2014-10-26	Drosophila arawakana	838
AB194428	Drosophila merina Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.	300357	2005-05-07	Drosophila merina	1800
